Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
DCI,"Donaldson Company",8436778000,21.81,3.26,358800000,1.05,1.02,1.46%,2024-06-04
DD,"Dupont Denemours Inc",33026036000,23.09,3.43,423000000,1.34,1.48,1.87%,2024-08-07
DDOG,"Datadog Inc Cl A",45010184000,328.75,0.4,48570000,1.11,N/A,0.00%,2024-08-13
DDS,Dillard's,6989057000,10.25,42.06,738850000,0.9,1,0.23%,2024-08-08
DE,"Deere & Company",99213472000,10.92,33.22,10166000000,0.93,5.76,1.60%,2024-08-16
DECK,"Deckers Outdoor Corp",23898170000,31.95,29.29,759560000,1.06,N/A,0.00%,2024-07-25
DELL,"Dell Technologies Inc",98564888000,23.5,6.07,3211000000,0.92,1.555,1.12%,2024-08-29
DFS,"Discover Financial Services",32322776000,15.06,8.77,2940000000,1.44,2.8,2.17%,2024-07-17
DG,"Dollar General Corp",28190540000,18.26,6.87,1661270000,0.43,2.36,1.84%,2024-08-29
DGX,"Quest Diagnostics Inc",15602871000,16.18,8.71,854000000,0.89,2.88,2.05%,2024-07-23
DHI,"D.R. Horton",44641536000,9.26,14.69,4745700000,1.71,1.15,0.85%,2024-07-18
DHR,"Danaher Corp",177209360000,29.7,8.08,4764000000,0.83,1.08,0.45%,2024-07-23
DINO,"HF Sinclair Corp",9734672000,6.43,8.24,1589670000,1.19,1.9,3.75%,2024-08-01
DIS,"Walt Disney Company",178639984000,23.04,4.28,2354000000,1.4,0.3,0.31%,2024-08-14
DJT,"Trump Media & Technology Group Corp",5154369000,0,-3.61,-21890000.,5.93,N/A,0.00%,2024-08-19
DKNG,"Draftkings Inc",32222652000,0,-1.18,-802140000.,1.81,N/A,0.00%,2024-08-01
DKS,"Dick's Sporting Goods Inc",16403935000,15.61,12.82,1046520000,1.65,4.2,2.09%,2024-08-27
DLB,"Dolby Laboratories",7650508000,32.26,2.48,200660000,0.99,1.17,1.47%,2024-08-01
DLR,"Digital Realty Trust",47313944000,22.99,3.6,948840000,0.59,4.88,3.22%,2024-07-25
DLTR,"Dollar Tree Inc",22930224000,18.08,5.86,-998400000.,0.88,N/A,0.00%,2024-08-22
DNB,"Dun & Bradstreet Holdings Inc",4046434000,10.7,0.86,-47000000.,1.16,0.2,2.19%,2024-08-01
DOC,"Healthpeak Properties Inc",13885599000,10.76,0.35,306010000,1.11,1.2,6.08%,2024-07-25
DOCS,"Doximity Inc Cl A",5099215000,34.25,0.77,147580000,1.22,N/A,0.00%,2024-08-13
DOCU,"Docusign Inc",11148834000,72.17,0.75,73980000,0.94,N/A,0.00%,2024-06-06
DOV,"Dover Corp",24281130000,20.11,8.8,1056830000,1.22,2.04,1.15%,2024-07-23
DOW,"Dow Inc",36728448000,23.82,2.22,589000000,1.25,2.8,5.36%,2024-07-25
DOX,"Amdocs Ltd Ord",9223050000,14.42,5.42,540710000,0.74,1.828,2.33%,2024-08-07
DPZ,"Domino's Pizza Inc",17221304000,32.46,15.32,519120000,0.87,5.44,1.10%,2024-07-18
DRI,"Darden Restaurants",17333314000,16.36,8.89,1027600000,1.29,5.24,3.61%,2024-06-20
DT,"Dynatrace Inc",13288079000,73.57,0.61,154630000,1.04,N/A,0.00%,2024-08-07
DTE,"Dte Energy Company",22715472000,18,6.07,1397000000,0.66,4.013,3.66%,2024-07-25
DTM,"Dt Midstream Inc",6767526000,17.12,4.1,384000000,0.74,2.85,4.09%,2024-08-06
DUK,"Duke Energy Corp",77609088000,17.21,5.8,2841000000,0.45,4.1,4.08%,2024-08-13
DUOL,"Duolingo Inc Cl A",8326427000,199.81,0.97,16070000,0.73,N/A,0.00%,2024-08-13
DV,"Doubleverify Holdings Inc",3447946000,52.82,0.38,71470000,0.93,N/A,0.00%,2024-07-29
DVA,"Davita Healthcare Partners Inc",11966664000,15.03,9.18,691540000,0.87,N/A,0.00%,2024-08-01
DVN,"Devon Energy Corp",29722960000,8.91,5.4,3747000000,2.07,2.05,4.36%,2024-08-06
DXC,"Dxc Technology Company",3313418000,5.74,3.17,91000000,1.73,N/A,0.00%,2024-08-07
DXCM,"Dexcom Inc",45212696000,66.81,1.66,541500000,1.16,N/A,0.00%,2024-07-25
EA,"Electronic Arts Inc",36740516000,26.77,5.18,1273000000,0.79,0.76,0.55%,2024-07-30
EBAY,"Ebay Inc",26540740000,15.94,3.3,2767000000,1.31,1.04,1.97%,2024-07-24
ECL,"Ecolab Inc",68019920000,41.6,5.67,1372300000,1.11,2.24,0.94%,2024-07-30
ED,"Consolidated Edison Company",30872688000,16.49,5.38,2519000000,0.34,3.28,3.67%,2024-08-01
EEFT,"Euronet Worldwide",4682663000,14.97,6.88,279700000,1.45,N/A,0.00%,2024-07-23
EFX,"Equifax Inc",29943530000,35.46,6.78,545300000,1.56,1.56,0.64%,2024-07-17
EG,"Everest Re Group",15768736000,5.15,70.85,2517000000,0.63,7.25,2.00%,2024-07-31
EGP,"Eastgroup Properties",8358280000,21.91,4.61,200490000,0.98,5.08,2.93%,2024-07-23
EHC,"Encompass Health Corp",8583396000,22.18,3.88,352000000,0.89,0.6,0.70%,2024-08-06
EIX,"Edison International",27856118000,14.96,4.8,1407000000,0.91,2.298,3.17%,2024-07-25
EL,"Estee Lauder Companies",38133280000,52.43,2.03,1006000000,0.99,2.64,2.48%,2024-08-19
ELAN,"Elanco Animal Health Inc",7027268000,18.12,0.78,-1231000000.,1.42,N/A,0.00%,2024-08-05
ELF,"E.L.F. Beauty Inc",11201224000,77.4,2.61,127660000,1.46,N/A,0.00%,2024-08-08
ELS,"Equity Lifestyle Properties",11935744000,22.24,1.83,314210000,0.77,1.85,2.89%,2024-07-22
ELV,"Elevance Health Inc",123253584000,15.47,34.29,5987000000,0.84,6.22,1.17%,2024-07-17
EME,"Emcor Group",17037928000,24.41,15.2,632990000,1.06,0.79,0.22%,2024-07-25
EMN,"Eastman Chemical Company",11117831000,15.03,6.38,894000000,1.46,3.22,3.41%,2024-07-25
EMR,"Emerson Electric Company",62622064000,21.23,5.16,13219000000,1.32,2.095,1.91%,2024-08-07
ENOV,"Enovis Corp",2459519000,18.07,2.46,-33260000.,1.92,N/A,0.00%,2024-08-01
ENPH,"Enphase Energy Inc",13217160000,44.47,2.23,438940000,1.71,N/A,0.00%,2024-07-25
ENTG,"Entegris Inc",20976536000,52.69,2.67,180670000,1.25,0.4,0.29%,2024-08-01
EOG,"Eog Resources",71804392000,10.73,11.82,7594000000,1.3,4.97,3.98%,2024-08-01
EPAM,"Epam Systems Inc",10675331000,21.67,8.56,417080000,1.45,N/A,0.00%,2024-08-01
EPR,"Entertainment Properties Trust",3145726000,8.2,2.03,173050000,1.73,3.34,8.03%,2024-07-31
EQH,"Axa Equitable Holdings Inc",13146402000,8.08,0,1302000000,1.43,0.9,2.23%,2024-07-30
EQIX,"Equinix Inc",71605616000,23.12,9.97,969180000,0.68,16.19,2.15%,2024-08-07
EQR,"Equity Residential",25760330000,17.62,2.41,835440000,0.87,2.675,3.94%,2024-07-29
EQT,"Eqt Corp",16038621000,25.9,1.43,1735230000,1.12,0.623,1.72%,2024-07-23
ES,"Eversource Energy",20173644000,13,4.41,-442240000.,0.59,2.78,4.85%,2024-07-29
ESAB,"Esab Corp",5557799000,20.18,4.62,205290000,1.43,0.26,0.28%,2024-08-06
ESI,"Element Solutions Inc",6555093000,20.24,1.33,118100000,1.31,0.32,1.18%,2024-07-24
ESS,"Essex Property Trust",17480256000,17.73,8.18,405830000,0.86,9.52,3.50%,2024-07-30
ESTC,"Elastic N.V.",11684001000,0,-1.21,61720000,0.98,N/A,0.00%,2024-08-29
ETN,"Eaton Corp",126884520000,33.07,9.63,3218000000,1.02,3.6,1.13%,2024-08-06
ETR,"Entergy Corp",22500396000,15.73,6.71,2362310000,0.71,4.46,4.23%,2024-08-07
ETSY,"Etsy Inc",6834733000,21.33,2.73,307570000,2.02,N/A,0.00%,2024-08-07
EVR,"Evercore Partners Inc",8195260000,32.92,6.41,255480000,1.38,3.08,1.45%,2024-07-24
EVRG,"Evergy Inc",12144850000,14.99,3.5,731300000,0.6,2.54,4.81%,2024-08-02
EW,"Edwards Lifesciences Corp",55632032000,35.72,2.55,1402400000,1.11,N/A,0.00%,2024-07-24
EWBC,"East West Bancorp",9797059000,8.73,8.32,1161160000,1.32,2.06,2.93%,2024-07-23
EXAS,"Exact Sciences Cor",8224501000,0,-1.22,-204150000.,1.22,N/A,0.00%,2024-08-06
EXC,"Exelon Corp",34310860000,14.65,2.37,2328000000,0.52,1.48,4.31%,2024-08-07
EXEL,"Exelixis Inc",6700721000,34.31,0.64,207770000,0.54,N/A,0.00%,2024-08-06
EXP,"Eagle Materials Inc",7272699000,15.77,13.79,477640000,1.32,1,0.47%,2024-07-25
EXPD,"Expeditors Intl",17437558000,26.24,4.72,752880000,0.98,1.42,1.15%,2024-08-13
EXPE,"Expedia Group Inc",16846558000,15.57,7.98,797000000,1.78,N/A,0.00%,2024-08-01
EXR,"Extra Space Storage Inc",32681872000,19.13,4.58,803200000,0.83,7.49,4.85%,2024-07-30
F,"Ford Motor Company",51261604000,6.81,1.89,4347000000,1.62,0.78,6.07%,2024-07-24
FAF,"First American Corp",5443435000,14.39,3.71,216800000,1.28,2.12,4.04%,2024-07-24
FANG,"Diamondback Energy",36298352000,11.24,18.41,3143000000,1.9,9.26,4.55%,2024-08-05
FAST,"Fastenal Company",36162068000,31.03,2.02,1155000000,1.01,1.86,2.94%,2024-07-12
FBIN,"Fortune Brands Innovations Inc",7834949000,15.66,4.04,404500000,1.52,0.94,1.50%,2024-07-25
FCN,"Fti Consulting",7625877000,25.32,8.6,274890000,0.09,N/A,0.00%,2024-07-25
FCNCA,"First Citizens Bancs",24592736000,8.25,208.02,11466000000,0.83,5.67,0.33%,2024-07-25
FCX,"Freeport-Mcmoran Inc",74007968000,38.08,1.33,1848000000,1.92,0.6,1.16%,2024-07-18
FDS,"Factset Research Systems Inc",16138696000,26.65,15.64,468170000,0.75,3.98,0.94%,2024-06-21
FDX,"Fedex Corp",72347808000,16.49,17.81,4331000000,1.18,5.16,1.76%,2024-06-25
FE,"Firstenergy Corp",22203408000,15.25,2.52,1102000000,0.49,1.635,4.24%,2024-07-30
FERG,"Ferguson Plc",38534192000,20.04,9.48,1889000000,1.22,3.12,1.64%,2024-06-04
FFIV,"F5 Inc",10059406000,16.91,10.08,394950000,1.08,N/A,0.00%,2024-07-22
FHB,"First Hawaiian Inc",2627153000,11.79,1.74,234980000,0.99,1.04,5.06%,2024-07-26
FHN,"First Horizon Corp",8334268000,11.67,1.33,897000000,0.89,0.6,3.94%,2024-07-17
FI,"Fiserv Inc",88063696000,18.98,7.84,3068000000,0.92,N/A,0.00%,2024-07-24
FICO,"Fair Isaac and Company",38340356000,86.94,17.6,429380000,1.34,N/A,0.00%,2024-08-07
FIS,"Fidelity National Information Services",41952448000,16.74,4.53,-6654000000.,1.06,1.76,2.33%,2024-08-07
FITB,"Fifth Third Bancorp",24632458000,10.39,3.54,2349000000,1.24,1.4,3.89%,2024-07-19
FIVE,"Five Below Inc",5846887000,20.27,5.35,301110000,1.19,N/A,0.00%,2024-06-05
FIVN,"Five9 Inc",3167460000,0,-0.64,-81760000.,0.82,N/A,0.00%,2024-08-05
FIX,"Comfort Systems USA",10799475000,31.47,9.91,323400000,1.15,1.025,0.34%,2024-07-24
FLO,"Flowers Foods",4628232000,18.27,1.2,123420000,0.36,0.93,4.24%,2024-08-08
FLS,"Flowserve Corp",6144293000,20.85,2.28,186740000,1.42,0.82,1.76%,2024-08-06
FMC,"FMC Corp",6879968000,23.49,2.37,1321500000,0.84,2.32,4.21%,2024-07-31
FNB,"F.N.B. Corp",4824288000,8.99,1.51,485000000,0.99,0.48,3.58%,2024-07-17
FND,"Floor & Decor Holdings Inc",9972449000,46.85,2.07,245980000,1.73,N/A,0.00%,2024-08-01
FNF,"Fidelity National Financial",13142748000,13.01,3.75,517000000,1.35,1.89,3.93%,2024-08-13
FOUR,"Shift4 Payments Inc",6406543000,31.67,2.3,86200000,1.63,N/A,0.00%,2024-08-01
FOX,"Fox Corp Cl B",15010069000,9.54,3.4,1239000000,0.82,0.52,1.62%,2024-08-13
FOXA,"Fox Corp Cl A",16120889000,10.23,3.4,1239000000,0.77,0.52,1.51%,2024-08-13
FR,"First Industrial Realty Trust",6325900000,19.36,2.17,274820000,1.07,1.38,2.89%,2024-07-17
FRPT,"Freshpet Inc CS",6469896000,6623.51,0.02,-33610000.,1.36,N/A,0.00%,2024-08-05
FRT,"Federal Realty Investment Trust",8361663000,15.25,2.81,236990000,1.23,4.36,4.33%,2024-08-01
FSLR,"First Solar Inc",23775948000,23.58,9.8,830780000,1.44,N/A,0.00%,2024-07-30
FTI,"Technipfmc Plc",11201014000,39.21,0.67,56200000,1.52,0.2,0.77%,2024-07-25
FTNT,"Fortinet Inc",46668968000,41.31,1.47,1147800000,0.98,N/A,0.00%,2024-08-06
FTRE,"Fortrea Holdings Inc",2087490000,25.79,0.91,-3400000.,N/A,N/A,0.00%,2024-08-12
FTV,"Fortive Corp",25490420000,20.59,3.51,865800000,1.12,0.31,0.43%,2024-07-24
FWONA,"Liberty Media Formula One Sr A",15225438000,47.53,0,1815000000,N/A,N/A,0.00%,2024-08-02
FWONK,"Liberty Media Formula One Sr C",17115104000,53.47,0,1815000000,N/A,N/A,0.00%,2024-08-02
FYBR,"Frontier Communications Parent Inc",6410156000,237.45,0.11,29000000,1.08,N/A,0.00%,2024-08-02
G,"Genpact Ltd",5588348000,12.1,2.63,631260000,1.11,0.58,1.87%,2024-08-14
GD,"General Dynamics Corp",77282856000,23.24,12.26,3315000000,0.6,6.8,2.41%,2024-07-24
GDDY,"Godaddy Inc",20544218000,39.05,3.68,1374800000,1.14,N/A,0.00%,2024-08-01
GE,"GE Aerospace",175684448000,48.66,3.35,9480000000,1.21,1.12,0.70%,2024-07-23
GEHC,"GE Healthcare Technologies Inc",35175192000,19.36,3.99,1568000000,1.2,0.12,0.16%,2024-07-23
GEN,"Gen Digital Inc",15428238000,13.87,1.78,616000000,0.79,0.5,2.03%,2024-08-01
GEV,"GE Vernova Inc",48302176000,0,-0.41,-438000000.,N/A,N/A,0.00%,2024-07-25
GFS,"Globalfoundries Inc",29320792000,29.67,1.71,1020000000,1.56,N/A,0.00%,2024-08-13
GGG,"Graco Inc",13327918000,26.72,2.96,506510000,0.82,0.98,1.24%,2024-07-24
GILD,"Gilead Sciences Inc",83085936000,16.52,4.03,5665000000,0.18,3.04,4.56%,2024-08-08
GIS,"General Mills",35096220000,13.96,4.52,2496600000,0.09,2.36,3.75%,2024-06-26
GL,"Globe Life Inc",7518159000,7.56,10.9,970760000,0.81,0.93,1.14%,2024-07-24
GLOB,"Globant S.A.",7615449000,38.1,4.63,158540000,1.41,N/A,0.00%,2024-08-15
GLPI,"Gaming & Leisure",12111660000,11.95,2.71,734280000,0.98,2.98,6.68%,2024-07-25
GLW,"Corning Inc",32928436000,23.01,1.67,581000000,1.05,1.12,2.91%,2024-07-30
GM,"General Motors Company",53077364000,5.8,8.05,10127000000,1.43,0.42,0.90%,2024-07-23
GME,"Gamestop Corp",8492428000,348.14,0.07,6700000,-0.1,N/A,0.00%,2024-06-11
GMED,"Globus Medical Inc",9308179000,27.23,2.52,122870000,1.15,N/A,0.00%,2024-08-01
GNRC,"Generac Holdings Inc",8516266000,24.34,5.67,203090000,1.37,N/A,0.00%,2024-08-07
GNTX,"Gentex Corp",7733105000,17.87,1.89,428400000,0.93,0.6,1.79%,2024-07-26
GO,"Grocery Outlet Holding Corp",2197963000,33.58,0.64,79440000,0.09,N/A,0.00%,2024-08-13
GOOG,"Alphabet Cl C",2372241760000,28.74,6.52,73795000000,1.05,0.2,0.10%,2024-07-23
GOOGL,"Alphabet Cl A",2355434880000,28.5,6.52,73795000000,1.05,0.2,0.10%,2024-07-23
GPC,"Genuine Parts Company",18450152000,14.17,9.41,1316520000,0.92,3.9,2.94%,2024-07-23
GPK,"Graphic Packaging Holding Company",7765320000,9.14,2.81,723000000,0.85,0.4,1.58%,2024-07-30
GPN,"Global Payments Inc",24560156000,9.41,10.26,986230000,0.98,1,1.04%,2024-08-06
GPS,"Gap Inc",8727809000,13.05,1.83,502000000,2.38,0.45,1.93%,2024-08-22
GRAL,"Grail Inc",0,0,0,-1283652000.,N/A,N/A,0.00%,N/A
GRMN,"Garmin Ltd",31103190000,26.86,6,1289640000,0.98,2.94,1.82%,2024-07-31
GS,"Goldman Sachs Group",149865136000,18.27,25.61,8516000000,1.37,11,2.37%,2024-07-15
GTES,"Gates Industrial Corp Plc",4027866000,11.71,1.34,232900000,1.44,N/A,0.00%,2024-08-02
GTLB,"Gitlab Inc Cl A",8354962000,0,-0.83,-424170000.,0.46,N/A,0.00%,2024-06-03
GWRE,"Guidewire Software Inc",11519090000,0,-0.19,-111860000.,1.19,N/A,0.00%,2024-06-04
GWW,"W.W. Grainger",44777916000,24.97,36.66,1829000000,1.17,7.63,0.84%,2024-08-01
GXO,"Gxo Logistics Inc",5751845000,19.44,2.54,229000000,1.6,N/A,0.00%,2024-08-07
H,"Hyatt Hotels Corp",15063111000,52.07,2.87,220000000,1.51,0.6,0.40%,2024-08-06
HAL,"Halliburton Company",29303462000,10.62,3.18,2638000000,1.93,0.66,1.99%,2024-07-19
HAS,"Hasbro Inc",7878234000,18.28,3.12,-1489300000.,0.62,2.8,4.95%,2024-08-01
HAYW,"Hayward Holdings Inc",2593336000,22.61,0.54,80690000,1.21,N/A,0.00%,2024-08-07
HBAN,"Huntington Bancshares Inc",18608422000,10.35,1.26,1951000000,1.06,0.62,4.83%,2024-07-19
HCA,"Hca Holdings Inc",83891048000,16.78,19.46,5242000000,1.68,2.52,0.79%,2024-07-23
HCP,"Hashicorp Inc Cl A",6777159000,0,-0.88,-190670000.,1.25,N/A,0.00%,2024-08-29
HD,"Home Depot",331774208000,22.38,14.91,15143000000,0.98,8.68,2.59%,2024-08-13
HEI,"Heico Corp",31474600000,68.89,3.31,403600000,1.2,0.21,0.09%,2024-08-26
HEI.A,"Heico Corp Cl A",24793556000,54.48,3.31,403600000,1.15,0.21,0.12%,2024-08-26
HES,"Hess Corp",45255056000,21.07,7.08,1382000000,1.16,1.75,1.19%,2024-07-31
HHH,"Howard Hughes Holdings Inc",3245726000,0,-1.02,-550950000.,1.45,N/A,0.00%,2024-08-13
HIG,"Hartford Financial Services Group",29193978000,10.41,9.57,2504000000,0.93,1.835,1.86%,2024-07-25
HII,"Huntington Ingalls Industries",9584978000,13.87,17.74,681000000,0.53,5.14,2.11%,2024-08-01
HIW,"Highwoods Properties",2752716000,7.08,1.22,148720000,1.27,2,7.70%,2024-07-23
HLI,"Houlihan Lokey",9343884000,29.99,4.49,280300000,0.67,2.22,1.63%,2024-07-25
HLT,"Hilton Inc",53612364000,33.2,6.51,1141000000,1.31,0.6,0.28%,2024-07-24
HOG,"Harley-Davidson Inc",4288051000,7.21,4.5,706590000,1.46,0.675,2.12%,2024-07-25
HOLX,"Hologic Inc",17293234000,19.19,3.83,456000000,0.99,N/A,0.00%,2024-07-29
HON,"Honeywell International Inc",138207712000,22.72,9.35,5658000000,1.04,4.27,2.01%,2024-07-25
HOOD,"Robinhood Markets Inc Cl A",19932002000,152.6,0.15,-541000000.,1.84,N/A,0.00%,2024-08-07
HPE,"Hewlett Packard Enterprise Comp",26708278000,15.09,1.37,2025000000,1.19,0.51,2.48%,2024-06-04
HPQ,"HP Inc",33887536000,10.28,3.39,3263000000,1.09,1.089,3.14%,2024-05-29
HR,"Healthcare Realty Trust Inc.",6492030000,10.72,-1.33,-278260000.,0.89,1.24,7.23%,2024-08-13
HRB,"H&R Block",7637871000,11.98,4.67,551430000,0.68,1.28,2.34%,2024-08-20
HRL,"Hormel Foods Corp",16608159000,18.78,1.61,793570000,0.24,1.115,3.68%,2024-08-29
HSIC,"Henry Schein Inc",8318193000,14.76,4.39,416000000,0.87,N/A,0.00%,2024-08-05
HST,"Host Marriott Financial Trust",12324169000,8.93,1.02,740000000,1.33,1.03,5.89%,2024-07-31
HSY,"Hershey Foods Corp",37240472000,18.94,9.7,1861790000,0.36,5.124,2.78%,2024-08-01
HUBB,"Hubbell Inc B",20011456000,24.25,15.31,759800000,0.9,4.78,1.28%,2024-07-23
HUBS,"Hubspot Inc",29927436000,0,-1.28,-176300000.,1.6,N/A,0.00%,2024-08-07
HUM,"Humana Inc",44443176000,15.22,23.84,2489000000,0.51,3.54,0.96%,2024-07-31
HUN,"Huntsman Corp",3760933000,224.9,0.1,101000000,1.01,0.975,4.48%,2024-07-29
HWM,"Howmet Aerospace Inc",32164822000,39.67,2,765000000,1.45,0.19,0.24%,2024-08-06
HXL,"Hexcel Corp",5387449000,36.99,1.75,105700000,1.28,0.55,0.85%,2024-07-18
IAC,"Iac Inc",3726955000,0,-2.72,265940000,1.32,N/A,0.00%,2024-08-13
IBKR,"Interactive Brokers",52205004000,20.82,6.03,600000000,0.81,0.55,0.44%,2024-07-16
IBM,"International Business Machines",161692512000,17.7,9.93,7502000000,0.71,6.65,3.78%,2024-07-24
ICE,"Intercontinental Exchange",80755032000,24.76,5.7,2368000000,1.06,1.74,1.24%,2024-08-01
IDA,"Idacorp Inc",4910048000,18.54,4.98,261200000,0.58,3.28,3.56%,2024-08-01
IDXX,"Idexx Laboratories",40137276000,46.22,10.33,845040000,1.32,N/A,0.00%,2024-08-06
IEX,"Idex Corp",14737059000,24.36,8.01,596100000,0.95,2.61,1.34%,2024-07-31
IFF,"International Flavors & Fragrances",24332396000,26.39,3.6,-2567000000.,1.26,2.42,2.54%,2024-08-05
ILMN,"Illumina Inc",17287236000,119.64,0.88,-1161000000.,1.15,N/A,0.00%,2024-08-14
INCY,"Incyte Corp",12872936000,20.02,2.88,597600000,0.73,N/A,0.00%,2024-08-06
INFA,"Informatica Inc Cl A",9206496000,82.27,0.37,-125280000.,1.07,N/A,0.00%,2024-08-07
INGR,"Ingredion Inc",7377410000,12.98,8.7,643000000,0.72,3.12,2.78%,2024-08-13
INSP,"Inspire Medical Systems Inc",4185389000,0,-0.55,-21150000.,1.31,N/A,0.00%,2024-08-06
INTC,"Intel Corp",136309136000,56.78,0.55,1689000000,1.05,0.5,1.56%,2024-07-25
INTU,"Intuit Inc",186947056000,57.48,11.48,2384000000,1.23,3.48,0.52%,2024-08-22
INVH,"Invitation Homes Inc",22075798000,20.01,0.87,519470000,0.99,1.36,3.77%,2024-07-24
IONS,"Ionis Pharmaceuticals",6727527000,0,-2.67,-366290000.,0.4,N/A,0.00%,2024-08-14
IP,"International Paper Company",14872756000,24.06,1.81,288000000,1.06,1.85,4.32%,2024-07-24
IPG,"Interpublic Group of Companies",10696196000,9.65,2.98,1098400000,1.12,1.28,4.52%,2024-07-19
IPGP,"Ipg Photonics Corp",3844117000,21.8,3.88,218880000,1.01,N/A,0.00%,2024-08-06
IQV,"Iqvia Holdings Inc",37915820000,21.86,9.46,1358000000,1.49,N/A,0.00%,2024-08-06
IR,"Ingersoll Rand Inc",36865616000,30.45,2.99,778700000,1.45,0.08,0.09%,2024-07-31
IRDM,"Iridium Comm Inc",3225154000,127.71,0.21,15420000,0.65,0.53,2.00%,2024-07-23
IRM,"Iron Mountain Inc",26850982000,22.17,1.8,184230000,0.98,2.6,2.84%,2024-08-01
ISRG,"Intuitive Surg Inc",157401680000,92.91,4.68,1798000000,1.39,N/A,0.00%,2024-07-18
IT,"Gartner Inc",35089532000,39.35,11.38,882470000,1.33,N/A,0.00%,2024-08-06
ITCI,"Intra-Cellular Ther",7343796000,0,-1.16,-139670000.,1.01,N/A,0.00%,2024-08-01
ITT,"ITT Inc",10447162000,23.41,5.46,410500000,1.41,1.218,0.96%,2024-08-01
ITW,"Illinois Tool Works Inc",69568976000,24.03,9.82,2957000000,1.1,5.6,2.40%,2024-08-06
IVZ,"Invesco Plc",6711479000,10.31,1.46,-96900000.,1.47,1.115,7.47%,2024-07-23
J,"Jacobs Engineering Group Inc",17121624000,18.1,7.65,665780000,0.7,1.1,0.80%,2024-08-13
JAZZ,"Jazz Pharma Plc",6386289000,7.17,14.43,414830000,0.58,N/A,0.00%,2024-08-14
JBHT,"J B Hunt Transport",16335051000,25.19,6.3,728290000,1.14,1.7,1.07%,2024-07-16
JBL,"Jabil Circuit",13092010000,13.64,8.07,818000000,1.27,0.32,0.29%,2024-06-20
JCI,"Johnson Controls Intl",44994820000,19.84,3.37,1849000000,1.28,1.48,2.22%,2024-08-07
JEF,"Jefferies Financial Group Inc",10746390000,23.63,2.16,277690000,1.34,1.2,2.37%,2024-06-26
JHG,"Janus Henderson Group Plc",5471755000,12.36,2.79,392000000,1.51,1.56,4.57%,2024-08-01
JKHY,"Jack Henry & Assoc",11887074000,31.84,5.14,366650000,0.63,2.14,1.31%,2024-08-20
JLL,"Jones Lang Lasalle Inc",9614456000,24.25,8.52,225400000,1.38,N/A,0.00%,2024-08-01
JNJ,"Johnson & Johnson",352530304000,13.93,10.46,35153000000,0.52,4.81,3.28%,2024-07-17
JNPR,"Juniper Networks",11933560000,26.93,1.35,310200000,0.95,0.88,2.40%,2024-07-25
JPM,"JP Morgan Chase & Company",588088896000,12.06,17.3,49552000000,1.12,4.4,2.15%,2024-07-12
JWN,Nordstrom,3572458000,11.93,1.81,134000000,2.62,0.76,3.48%,2024-08-22
K,Kellanova,19275420000,13.92,4.07,951000000,0.34,2.24,3.97%,2024-08-01
KBR,"KBR Inc",8581579000,21.83,2.95,-265000000.,0.9,0.57,0.89%,2024-07-24
KD,"Kyndryl Hldgs Inc",5974897000,0,-0.21,-340000000.,1.67,N/A,0.00%,2024-08-05
KDP,"Keurig Dr Pepper Inc",44273044000,17.88,1.83,2181000000,0.62,0.86,2.63%,2024-07-25
KEX,"Kirby Corp",7028491000,28.74,4.23,222940000,1.18,N/A,0.00%,2024-08-01
KEY,Keycorp,13152896000,13.85,1.03,967000000,1.26,0.82,5.88%,2024-07-18
KEYS,"Keysight Technologies Inc",23972932000,20.92,6.47,1057000000,0.95,N/A,0.00%,2024-08-15
KHC,"Kraft Heinz Company",38966824000,10.77,2.98,2855000000,0.53,1.6,4.99%,2024-08-07
KIM,"Kimco Realty Corp",12996958000,12.27,0.53,654270000,1.51,1.04,5.39%,2024-08-01
KKR,"KKR & Company LP",94135600000,36.2,2.93,3732260000,1.62,0.67,0.63%,2024-08-05
KLAC,"K L A-Tencor Corp",115145456000,37.82,22.56,3387280000,1.27,5.65,0.66%,2024-07-24
KMB,"Kimberly-Clark Corp",46563620000,19.9,6.91,1764000000,0.37,4.8,3.47%,2024-07-23
KMI,"Kinder Morgan",44143564000,17.98,1.11,2391000000,0.93,1.135,5.71%,2024-07-17
KMPR,"Kemper Corp",3792975000,51.83,1.15,-272100000.,0.89,1.24,2.10%,2024-08-05
KMX,"Carmax Inc",11172135000,28.47,2.56,479200000,1.69,N/A,0.00%,2024-06-21
KNSL,"Kinsale Capital Group Inc",8893058000,28.22,13.56,308090000,1.06,0.58,0.15%,2024-07-25
KNX,"Knight-Swift Transporation Inc",7988431000,45.07,1.11,217150000,0.94,0.6,1.21%,2024-07-24
KO,"Coca-Cola Company",274675200000,23.2,2.73,10714000000,0.59,1.89,2.96%,2024-07-23
KR,"Kroger Company",37412304000,10.84,4.68,2164000000,0.45,1.16,2.24%,2024-06-20
KRC,"Kilroy Realty Corp",3666576000,7.2,1.74,212240000,1.04,2.16,6.91%,2024-07-31
KSS,"Kohl's Corp",2478782000,8.65,2.48,317000000,1.95,2,8.97%,2024-08-28
KVUE,"Kenvue Inc",35060260000,15.01,1.22,1664000000,1.4,0.8,4.37%,2024-07-18
